Firmenname,Straße,Hausnummer,Postleitzahl,Stadt,Bundesland,Land,Telefon,Website,Primäre Kategorie,Sekundäre Kategorie,Beschreibung,E-Mail,Öffnungszeiten Mo,Öffnungszeiten Di,Öffnungszeiten Mi,Öffnungszeiten Do,Öffnungszeiten Fr,Öffnungszeiten Sa,Öffnungszeiten So,Service-Gebiet
"ZOE Solar Bremen","Am Markt","1","28195","Bremen","Bremen","DE","+49 421 12345678","https://zoe-solar.de/bremen","Solar Panel Installation","Solar Energy Contractor","Solarpartner für Bremen und Norddeutschland. Fachkenntnis bei der Installation von Photovoltaikanlagen. 10 Jahre Garantie.","bremen@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Bremen, Niedersachsen"
"ZOE Solar Dresden","Neumarkt","1","01067","Dresden","Sachsen","DE","+49 351 12345678","https://zoe-solar.de/dresden","Solar Panel Installation","Solar Energy Contractor","Solaranlagen für Dresden und Sachsen. Qualität und Zuverlässigkeit bei Solaranlageninstallation. Zertifizierte Monteure.","dresden@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Dresden, Sachsen"
"ZOE Solar Hannover","Ernst-August-Platz","1","30159","Hannover","Niedersachsen","DE","+49 511 12345678","https://zoe-solar.de/hannover","Solar Panel Installation","Solar Energy Contractor","Solarlösungen für Hannover und Niedersachsen. Ihr Partner für Photovoltaik in der Hauptstadt Niedersachsens. Persönliche Beratung.","hannover@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Hannover, Niedersachsen"
"ZOE Solar Nürnberg","Hauptmarkt","1","90403","Nürnberg","Bayern","DE","+49 911 12345678","https://zoe-solar.de/nuernberg","Solar Panel Installation","Solar Energy Contractor","Solaranlagen Experten für Nürnberg und Franken. Wir machen Solar einfach und zugänglich. Transparente Preise.","nuernberg@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Nürnberg, Franken"
"ZOE Solar Wien","Stephansplatz","1","1010","Wien","Wien","AT","+43 1 12345678","https://zoe-solar.de/wien","Solar Panel Installation","Solar Energy Contractor","Solarpartner für Wien und Österreich. Österreichs führende Solarfirma mit Standort in der Bundeshauptstadt. KGV-optimiert.","wien@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Wien, Niederösterreich"
"ZOE Solar Graz","Hauptplatz","1","8010","Graz","Steiermark","AT","+43 316 12345678","https://zoe-solar.de/graz","Solar Panel Installation","Solar Energy Contractor","Solaranlagen für Graz und die Steiermark. Ihre lokale Solarfirma im Herzen der Steiermark. Regionale Expertise.","graz@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Graz, Steiermark"
"ZOE Solar Linz","Hauptplatz","1","4020","Linz","Oberösterreich","AT","+43 732 12345678","https://zoe-solar.de/linz","Solar Panel Installation","Solar Energy Contractor","Solarpartner für Linz und Oberösterreich. Photovoltaikanlagen für das obösterreichische Zentrum. Premium-Qualität.","linz@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Linz, Oberösterreich"
"ZOE Solar Salzburg","Residenzplatz","1","5020","Salzburg","Salzburg","AT","+43 662 12345678","https://zoe-solar.de/salzburg","Solar Panel Installation","Solar Energy Contractor","Solaranlagen für Salzburg und Salzburg Land. Solarenergie im Herzen Österreichs. Alpenqualität für Solaranlagen.","salzburg@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Salzburg, Salzburg Land"
"ZOE Solar Innsbruck","Maria-Theresien-Straße","1","6020","Innsbruck","Tirol","AT","+43 512 12345678","https://zoe-solar.de/innsbruck","Solar Panel Installation","Solar Energy Contractor","Solarlösungen für Innsbruck und Tirol. Alpenländische Qualität bei Solaranlageninstallation. Bergregionenspezialist.","innsbruck@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Innsbruck, Tirol"
"ZOE Solar Zürich","Bahnhofstrasse","1","8001","Zürich","Zürich","CH","+41 44 12345678","https://zoe-solar.de/zuerich","Solar Panel Installation","Solar Energy Contractor","Solarpartner für Zürich und die Schweiz. Schweizer Präzision bei Solaranlageninstallation. Swiss Quality Certification.","zuerich@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Zürich, Schweiz"
"ZOE Solar Basel","Marktplatz","1","4001","Basel","Basel-Stadt","CH","+41 61 12345678","https://zoe-solar.de/basel","Solar Panel Installation","Solar Energy Contractor","Solaranlagen für Basel und Nordwestschweiz. Ihr lokaler Solarpartner am Dreiländereck. Dreiländer-Expertise.","basel@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Basel, Nordwestschweiz"
"ZOE Solar Bern","Bundesplatz","1","3003","Bern","Bern","CH","+41 31 12345678","https://zoe-solar.de/bern","Solar Panel Installation","Solar Energy Contractor","Solarlösungen für Bern und die Schweiz. Hauptstadt der Schweiz - Hauptstadt der Solarenergie. Bundesstadt-Qualität.","bern@zoe-solar.de","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","08:00-18:00","09:00-14:00","Geschlossen","Bern, Schweiz"
